Mã lỗi,Name,Message (Vietnamese),Message (English),Loại lỗi,Transaction Status,Lưu ý,Unnamed: 7,Loại lỗi.1,HXL
-6053,BANK_FRAUD_DETECTION_DEVICE_EXCEEDED_NO_TRANS_PER_INTERVAL,Vượt số lần giao dịch tối đa trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the daily transaction limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6052,BANK_FRAUD_DETECTION_USER_EXCEEDED_NO_TRANS_PER_INTERVAL,Vượt số lần giao dịch tối đa trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the daily transaction limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6051,BANK_FRAUD_DETECTION_CARD_EXCEEDED_NO_TRANS_PER_INTERVAL,Thẻ vượt số lần giao dịch tối đa trong ngày. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card exceeded the daily trading limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6050,BANK_FRAUD_DETECTION_EXCEEDED_NO_CARD_PER_INTERVAL,Vượt giới hạn số thẻ có thể giao dịch. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the number of card limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6038,,Hệ thống chưa nhận được thông tin xác thực. Vui lòng thực hiện lại giao dịch.,,User,Fail,"Nguyên nhân: Do khi thanh toán, KH không thực hiện xác thực; hoặc xác thực không thành công.

HXL:
CS kiểm tra cột Auth Info xem giao dịch đang được hệ thống yêu cầu xác thực thông tin gì. CS tư vấn KH thực hiện lại gd khác & xác thực đúng theo loại hệ thống đang yêu cầu.",,,
-6036,BANK_FRAUD_DETECTION_DEVICE_EXCEEDED_AMT_PER_MONTH,Vượt hạn mức giao dịch trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the monthly spending limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6035,BANK_FRAUD_DETECTION_USER_EXCEEDED_AMT_PER_MONTH,Vượt hạn mức giao dịch trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the monthly spending limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6034,BANK_FRAUD_DETECTION_CARD_EXCEEDED_AMT_PER_MONTH,Thẻ vượt hạn mức giao dịch trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card exceeded the monthly spending limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6033,BANK_FRAUD_DETECTION_DEVICE_EXCEEDED_NO_TRANS_PER_MONTH,Vượt số lần giao dịch tối đa trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the monthly transaction limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6032,BANK_FRAUD_DETECTION_USER_EXCEEDED_NO_TRANS_PER_MONTH,Vượt số lần giao dịch tối đa trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the monthly transaction limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details,User,Fail,,,,
-6031,BANK_FRAUD_DETECTION_CARD_EXCEEDED_NO_TRANS_PER_MONTH,Thẻ vượt số lần giao dịch tối đa trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card exceeded the monthly transaction limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details,User,Fail,,,,
-6030,BANK_FRAUD_DETECTION_EXCEEDED_NO_CARD_PER_MONTH,Vượt giới hạn số thẻ có thể giao dịch trong tháng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Exceeded the number of card monthly limit. Please select another funding source to make the transaction. Contact the hotline 1900545436 for more details.,User,Fail,,,,
-6021,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5014,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,"Device has exceeded
 daily spending limit. Please try again with your 
 E-Wallet. Contact hotline 1900545436 
 for more information",User,Fail,,,,
-6020,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5013,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,"Device has exceeded
 daily spending limit. . Please try again with your 
 E-Wallet. Contact hotline 1900545436 
 for more information",User,Fail,,,,
-6019,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5015,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,"Device has exceeded
 daily spending limit. Please try again with your 
 E-Wallet. Contact hotline 1900545436 
 for more information.",User,Fail,,,,
-6018,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5007,Tài khoản đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Customer account has exceeded daily spending limit. Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6017,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5008,Tài khoản đã vượt hạn mức thanh toán trong tháng. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Customer account has exceeded monthly spending limit. Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6016,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5011,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,"Card has exceeded daily spending limit. . Please try again with your 
 E-Wallet. Contact hotline 1900545436 for more information.",User,Fail,,,,
-6015,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5019,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,"Card has exceeded daily spending limit. . Please try again with your 
 E-Wallet. Contact hotline 1900545436 for more information.",User,Fail,,,,
-6014,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5012,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. . Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6013,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5018,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. . Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6012,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5017,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. . Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6011,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5009,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6010,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5010,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. . Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6009,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5016,Tài khoản đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,Card has exceeded daily spending limit. . Please try again with your E-Wallet. Contact hotline 1900545436 for more information.,User,Fail,,,,
-6008,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5006,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6007,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5005,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6006,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5004,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6005,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5003,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6004,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5002,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6003,BANK_FRAUD_DETECTION_REJECTED_MVEL_R5001,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,Transaction is suspected to be fraud. Please contact hotline 1900545436 for more support.,User,Fail,,,,
-6002,BANK_FRAUD_DETECTION_REJECTED_BY_FRAUD_SCORE,Ngân hàng từ chối giao dịch này. Vui lòng liên hệ ngân hàng phát hành thẻ để được hỗ trợ.,Bank has declined this transaction. Please contact the issuing bank for more support.,User,Fail,,,,
-6001,BANK_FRAUD_DETECTION_REJECTED_BY_FILTER,Giao dịch nghi ngờ không an toàn. Vui lòng liên hệ với bộ phận chăm sóc khách hàng để được hổ trợ.,Transaction is suspected to be fraud. Please contact Customer Service for more support.,User,Fail,,,,
-6000,BANK_CARD_NOT_REGISTERED_ONLINE_PAYMENT,Thẻ hoặc tài khoản chưa đăng ký dịch vụ thanh toán trực tuyến. Vui lòng đăng ký dịch vụ thanh toán trực tuyến với ngân hàng trước khi sử dụng dịch vụ này!,"Card or account have not been registered
 for online payment service. Please contact
 with issuing bank before using this service!",User,Fail,,,,
-5970,BANK_NO_AUTHORIZATION_METHOD,"Thẻ/Tài khoản chưa đăng ký phương thức xác thực giao dịch trực tuyến (SMS OTP, Soft token v.v...). Vui lòng liên hệ ngân hàng phát hành để được hỗ trợ.","Card / Account has not been registered with an online transaction authentication method (SMS OTP, Soft token, etc.). Please contact the issuing bank for more support.",User,Fail,,,,
-5800,BANK_ZION_ESCROW_ACCOUNT_HAS_BEEN_LOCKED,Hệ thống có lỗi khi xử lý yêu cầu. Vui lòng liên hệ bộ phận chăm sóc khách hàng để được hỗ trợ.,System error while processing request. Please contact Customer Service for more support.,System,Fail,,,,
-5703,BANK_EXCEEDED_AMOUNT_PER_WEEK,Vượt hạn mức giao dịch trong tuần tại ngân hàng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch.,,User,Fail,"KH muốn biết hạn mức bao nhiêu, hoặc vướng hạn mức như thế nào >> CS hướng dẫn KH liên hệ ngân hàng phát hành thẻ, TKNH để biết chi tiết hạn mức trong tuần. ",,,
-5702,BANK_EXCEEDED_AMOUNT_PER_MONTH,Vượt hạn mức giao dịch trong tháng tại ngân hàng. Vui lòng chọn nguồn tiền khác để thực hiện giao dịch.,,User,Fail,"KH muốn biết hạn mức bao nhiêu, hoặc vướng hạn mức như thế nào >> CS hướng dẫn KH liên hệ ngân hàng phát hành thẻ, TKNH để biết chi tiết hạn mức trong tháng. ",,,
-5701,BANK_TEMP_LOCKED_DUE_TO_PREVIOUS_TXN_HAS_NOT_BEEN_FINISHED,Vui lòng thực hiện lại giao dịch sau 5 phút do KH chưa thực hiện xác thực giao dịch trước đó.,,User,Fail,,,,
-5700,BANK_IB_OR_EBANK_ACCOUNT_HAS_BEEN_LOCKED,Tài khoản ngân hàng điện tử đang tạm khóa. Vui lòng liên hệ ngân hàng để được hỗ trợ,Internet Banking or EBanking account has been locked. Please contact the issuing bank for more support.,User,Fail,NH OCB xem tại sheet bên cạnh,,,
-5601,BANK_NON_INDIVIDUAL_CUSTOMER,Tài khoản/thẻ không phải khách hàng cá nhân. Vui lòng liên hệ ngân hàng để được hỗ trợ.,None individual customer.,User,Fail,,,,
-5501,BANK_INQUIRY_FAILED,Không truy vấn được thông tin thẻ hoặc tài khoản phía ngân hàng.,Cannot retrieve card or account information from bank.,Bank,Fail,,,,
-5429,BANK_REQ_INVALID_MESSAGE_FORMAT,Hệ thống có lỗi. Vui lòng thử lại.,System Error. Please try again,System,Fail,,,,
-5428,BANK_QR_BILLNO_IS_REQUIRED,Mã hóa đơn không hợp lệ.,Invalid bill number.,Bank,Fail,,,,
-5427,BANK_QR_END_2_END_REF_IS_REQUIRED,Giao dịch thất bại. Vui lòng thử lại.,Transaction failed. Please try again.,Bank,Fail,,,,
-5426,BANK_QR_ORDER_INFO_IS_REQUIRED,Thiếu thông tin đơn hàng.,Order information is required.,Bank,Fail,,,,
-5425,BANK_QR_RECIPIENT_ACC_IS_REQUIRED,Thiếu thông tin tài khoản bên nhận lệnh.,Recipient's account information is required.,Bank,Fail,,,,
-5424,BANK_QR_RECIPIENT_IS_REQUIRED,Thiếu thông tin bên nhận lệnh.,Recipient information is required.,Bank,Fail,,,,
-5423,BANK_QR_PARTICIPANT_IS_REQUIRED,Participant is required.,Participant is required.,Bank,Fail,,,,
-5422,BANK_QR_SENDER_ACC_IS_REQUIRED,Thiếu thông tin tài khoản bên gửi lệnh.,Sender's account information is required.,Bank,Fail,,,,
-5421,BANK_QR_SENDER_IS_REQUIRED,Thiếu thông tin bên gửi lệnh.,Sender information is required.,Bank,Fail,,,,
-5420,BANK_QR_PAYMENT_IS_REQUIRED,Thông tin thanh toán không hợp lệ.,Payment information is required.,Bank,Fail,,,,
-5417,BANK_QR_INVALID_ACCOUNT,Tài khoản không hợp lệ.,Invalid account.,User,Fail,,,,
-5416,BANK_QR_INVALID_BILL,Hóa đơn không hợp lệ.,Invalid bill.,User,Fail,,,,
-5415,BANK_QR_INVALID_AMOUNT,Số tiền không hợp lệ.,Invalid amount.,Bank,Fail,,,,
-5414,BANK_QR_ISSUING_NOT_REGISTER_PAYMENT_LIMIT,Issuing not register payment limit.,Issuing not register payment limit.,Bank,Fail,,,,
-5413,BANK_QR_RECEIVING_INSTITUTION_NOT_JOIN_QR,Tổ chức nhận lệnh chưa tham gia dịch vụ QR.,Receiving institution is not joining QR service,Bank,Fail,,,,
-5412,BANK_QR_ISSUER_OR_SWITCH_IN_OPERATION,Issuer or switch in operation.,Issuer or switch in operation.,Bank,Fail,,,,
-5411,BANK_QR_CUT_OFF_IN_PROGRESS,Cut off in progress.,Cut off in progress.,Bank,Fail,,,,
-5410,BANK_QR_EXCEED_WITHDRAW_FREQUENCY_LIMIT,Vượt số lần giao dịch trong ngày.,Daily withdrawal limit exceeded.,User,Fail,,,,
-5409,BANK_QR_EXCEED_WITHDRAW_LIMIT,Vượt hạn mức rút tiền.,Daily withdrawal amount limit exceeded.,User,Fail,,,,
-5408,BANK_QR_EXCEED_PAYMENT_LIMIT,Vượt hạn mức thanh toán.,Payment limit exceeded.,User,Fail,,,,
-5407,BANK_QR_TRANS_NOT_PERMITTED,Giao bị từ chối.,Transaction is not permitted,Bank,Fail,,,,
-5406,BANK_TRANS_SUSPECTED_FRAUD,Giao dịch bị nghi ngờ gian lận. Vui lòng đăng ký dịch vụ thanh toán trực tuyến với ngân hàng trước khi sử dụng dịch vụ này!,Transaction is suspected to be fraud. Please register online payment service with issuing bank before using this service!,User,Fail,,,,
-5405,BANK_QR_REFER_TO_CARD_ISSUER,Giao dịch không thành công. Vui lòng liên hệ ngân hàng phát hành thẻ.,Transaction failed. Please contact issuing bank.,Bank,Fail,,,,
-5404,BANK_QR_BILL_NOT_FOUND,Không tồn tại hóa đơn.,Bill not found.,User,Fail,,,,
-5403,BANK_QR_BILL_EXPIRED,Hóa đơn hết hạn.,Bill expired.,User,Fail,,,,
-5402,BANK_QR_FINISHED_PAYMENT,Finished payment.,Finished payment.,User,Fail,,,,
-5401,BANK_QR_INVALID_MERCHANT,Thông tin merchant không hợp lệ.,Invalid merchant information.,Bank,Fail,,,,
-5400,BANK_QR_GENERAL_ERROR,Giao dịch không thành công. Vui lòng thực hiện lại.,Transaction failed. Please try again.,Bank,Fail,,,,
-5303,BANK_NOT_SUPPORTED_FOREIGN_CURRENCY_ACCOUNT,Tài khoản thanh toán là tài khoản ngoại tệ. Quý khách vui lòng lựa chọn tài khoản khác.,Payment account is foreign currency account. Please choose another account.,User,Fail,,,,
-5302,BANK_VPB_ACCOUNT_OR_CARD_ALREADY_LINKED,Ngân hàng xảy ra lỗi. Vui lòng thử lại sau hoặc liên hệ hotline 1900545415 để được hỗ trợ.,Bank error. Please try again or contact hotline 1900545415 for more support.,Bank,Fail,,,,
-5301,BANK_MB_CARD_NOT_SUPPORTED,"Thẻ không hỗ trợ, yêu cầu thẻ Active Plus. Để biết thông tin chi tiết về thẻ của bạn, liên hệ hotline MBBank 1900545426","Card is not supported, Active Plus card is required. For more information, contact MB hotline 1900545426",User,Fail,,,,
-5265,BANK_TRANS_PENDING,"Giao dịch đang chờ xử lý, Vui lòng liên hệ ngân hàng phát hành để được hỗ trợ",,Bank,Pending,,,,
-5264,BANK_TRANS_INVALID,Giao dịch không hợp lệ. Vui lòng liên hệ ngân hàng phát hành để được hỗ trợ.,,Bank,Fail,,,,
-5263,BANK_INVALID_USER_ID,Mã định danh khách hàng không hợp lệ.,Invalid user id.,System,Fail,,,,
-5262,BANK_DUPLICATED_USER,Khách hàng đã đang ký dịch vụ.,Customer has already registered service.,Bank,Fail,,,,
-5261,BANK_INVALID_MPIN,Mã mPIN không hợp lệ.,Invalid mPIN.,Bank,Fail,,,,
-5260,BANK_USER_HAS_NOT_BEEN_REGISTERED,Khách hàng chưa đăng ký dịch vụ liên kết ví.,Customer has not registered with E-Wallet service.,Bank,Fail,,,,
-5223,BANK_USER_HAS_NOT_BEEN_REGISTERED_BIOMETRICS	,Khách hàng không thể thực hiện giao dịch vì chưa đăng ký sinh trắc học tại ngân hàng. Vui lòng đăng ký sinh trắc học tại ứng dụng ngân hàng hoặc tại điểm giao dịch ngân hàng gần nhất.,,Bank,Fail,"Nguyên nhân:  Do Thông tư 17 của NHNN thì chỉ chấp nhận thanh toán khi GTTT còn hiệu lực, hợp lệ và đã cập nhật sinh trắc học đầy đủ với ngân hàng. Nếu GTTT của khách hàng không hợp với ngân hàng user thanh toán qua Zalopay sẽ xuất hiện các mã lỗi này.

HXL: Khách hàng cần liên hệ ngân hàng cập nhật GTTT sau đó thực hiện thanh toán lại.

Link video hướng dẫn KH thực hiện NFC tại hệ thống bank: LINK",,,
-5224,BANK_IDENTITY_INFO_EXPIRED	,"Khách hàng không thể thực hiện giao dịch vì Giấy tờ tuỳ thân đã hết hạn. Vui lòng vào ứng dụng hoặc liên hệ điểm giao dịch ngân hàng gần nhất để cập nhật giấy tờ tuỳ thân mới nhất.
",,Bank,Fail,,,,
-5221,BANK_EKYC_ACCOUNT_NEED_TO_BE_VERIFIED_AT_THE_COUNTER,Tại khoản mở bằng ekyc cần xác thực tại quầy trước khi liên kết ví điện tử.,,Bank,Fail,,,,
-5220,BANK_CARD_OR_ACCOUNT_INVALID_PACKAGE_TYPE,Gói tài khoản không được hỗ trợ. Vui lòng liên hệ NH để được hỗ trợ.,,User,Fail,,,,
-5219,BANK_USER_HAS_NOT_BEEN_REGISTER_EBANK,Khách hàng chưa đăng ký dịch vụ Internet Banking/Ebank. Vui lòng đăng ký dịch vụ này với NH trước khi thực hiện giao dịch.,Customer has not registered with Internet Banking/Ebank service. Please register this service before making transaction.,User,Fail,,,,
