"Lưu ý: Giao dịch hoàn tiền vẫn tính vào hạn mức, số lần thanh toán.
Return code (TPE): -358 thì CS sẽ kiểm tra AppID & đối chiếu mã lỗi tương ứng với AppID theo bảng dưới:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,"Group 2: Hạn mức tối đa 1.000.000VND
Vượt hạn mức mua vé số 1.000.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",,Vượt hạn mức mua vé số 1.000.000đ trong 30 ngày bằng TK trả sau.,,,,
,"Group 3: Hạn mức tối đa 200.000VND
Vượt hạn mức mua vé số 200.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",,Vượt hạn mức mua vé số 200.000đ trong 30 ngày bằng TK trả sau.,,,,
"Internet

20 - Internet
1494 - Internet Viettel
672 - VNPT Internet
1450 - Internet SCTV
1087 - HTVC Net

Note : whitelist not available","Group 1: Hạn mức tối đa 3.000.000VND
==> User sẽ được báo: Vượt hạn mức thanh toán Internet 3.000.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",Vượt thanh toán Internet <amount>/30 ngày,Vượt hạn mức thanh toán Internet 3.000.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,"HXL chung: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Một số thắc mắc thêm của KH: 
1. Khi KH thắc mắc hạn mức được đánh giá như thế nào:
Hệ thống máy tính sẽ định kỳ tự động đánh giá lịch sử GD của KH khi sử dụng TKTS từ đó đưa ra quyết định hạn mức thanh toán bằng TKTS của KH đối với 1 số sản phẩm/dịch vụ.

2. Làm sao để có thể thanh toán giá trị nhiều hơn bằng TKTS đối với một số sản phẩm/dịch vụ có giới hạn hạn mức theo hạn mức Group 2 và 3:
1 số gợi ý để KH có thể thanh toán với hạn mức cao hơn trong tương lai:
+ Sử dụng thường xuyên, đều đặn TKTS ít nhất từ 1-3 tháng trở lên
+ Thanh toán dư nợ TKTS đầy đủ và đúng hạn
","14h00 ngày 27/04/2023 
Lưu ý nội bộ SL/coor: các hạn mức này có thể được thay đổi theo từng thời kỳ để đáp ứng nhu cầu quản lý rủi ro nợ xấu. Risk sẽ inform CS khi có thay đổi.
Nếu có thắc mắc, có thể inbox cho Risk (PIC trungnc, trinhtn) để được hướng dẫn thêm
",,
,"Group 2: Hạn mức tối đa 1.000.000VND
Vượt hạn mức thanh toán Internet 1.000.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",,Vượt hạn mức thanh toán Internet 1.000.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,,,,
,"Group 3: Hạn mức tối đa 300.000VND
Vượt hạn mức thanh toán Internet 300.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",,Vượt hạn mức thanh toán Internet 300.000đ trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,,,,
"Telco: Data, Combo

441 - Nạp Data 3G/4G
455 - Telco combo","cùng SĐT: 200k/ 30 days
khác SĐT: 100k/ 30 days
Group 2: 
- Cùng SĐT: 250.000/30 ngày.
- Khác SĐT: 100.000/30 ngày.
Group 3:
- Cùng SĐT: 100.000/30 ngày.
- Khác SĐT: Không cho phép

=> Vượt hạn mức nạp data/combo <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.
 Vượt hạn mức nạp data/combo cho SĐT khác <amount> trong 30 ngày bằng TK trả sau. Bạn sử dụng nguồn tiền khác nhé","Vượt mức nạp data/combo x/30 ngày
 Vượt mức nạp data/combo khác SĐT x/30 ngày
 Chưa hỗ trợ nạp data/combo khác SĐT",.,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",Đã lên từ 14h - 27/4/2023,,
"Telco: Data, Combo

2172 - Thẻ data","Group 1 & 2: Hạn mức tối đa 100.000 đ/ 30 ngày.
Group 3: Không cho phép.

=> Vượt hạn mức mua thẻ data <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.","Vượt mức mua thẻ data x/30 ngày
 Hoặc Dịch vụ chưa hỗ trợ",,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",,,
"Telco: Data, Combo

2172 - Thẻ data","300k/ 30 days
Group 1: Hạn mức tối đa 500.000/30 ngày.
Group 2: Hạn mức tối đa 300.000/30 ngày.
=> Vượt hạn mức dịch vụ data <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",Vượt mức dịch vụ data x/30 ngày,,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",,,
"Topup game
15 - Dịch Vụ
1140 - ZingPlay
1348 - ZingPlay
1349 - ZingPlay
1364  - ZingPlay KVTM
1477 - ZingPlay CTP
1487 - ZingPlay Web Payment
1459 - ZingPlay Cá Béo
1845 - ZingPlay STM","Group 1: Không có
Group 2: Hạn mức tối đa 500.000đ, 1.000.000đ, 2.000.000đ / 30 ngày
Group 3: Hạn mức tối đa 200.000đ / 30 ngày
==> User sẽ được báo: Vượt mức nạp game <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.",Vượt mức nạp game <amount>/30 ngày,,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",Đã lên từ 14h - 15/5/2023,,
"Game card
28 - ESale Miền Nam
29 - ESale Miền Bắc
2391 - Thẻ giải trí","Group 1: Hạn mức tối đa 1.000.000VND
Group 2: Hạn mức tối đa 300.000VND
Group 3: Hạn mức tối đa 100.000VND
==> User sẽ được báo: Vượt mức mua thẻ game <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.","Vượt mức nạp thẻ, dịch vụ <amount>/30 ngày",,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",,,
All - Game,"Group 1: Không có
Group 2: Hạn mức tối đa 600.000VND
Group 3: Hạn mức tối đa 250.000VND
==> User sẽ được báo: Vượt tổng dịch vụ game <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.","Vượt mức game, dịch vụ <amount>/30 ngày",,"HXL: Tư vấn KH thực hiện lại giao dịch sau 30 ngày kể từ giao dịch thành công cuối cùng hoặc thử lại bằng nguồn tiền khác. Trong trường hợp KH vẫn còn hạn mức có thể thanh toán, CS tư vấn KH thanh toán đơn hàng có giá trị bằng với hạn mức cho phép còn lại.

Note : whitelist not available",,,
Điện tử và Viễn thông trong danh sách,"Group 1: Hạn mức tối đa 3.500.000VND
Group 2: Hạn mức tối đa 1.500.000VND
Group 3: Hạn mức tối đa 500.000VND
==> User sẽ được báo:Vượt hạn mức dịch vụ này <amount> trong 30 ngày bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé..",Vượt mức <amount>/30 ngày cho dịch vụ này,,"HXL chung: CS hướng dẫn KH sử dụng nguồn tiền khác hoặc thử lại sau 30 ngày tính từ GD thành công cuối cùng.
Note : whitelist not available

Một số thắc mắc thêm của KH: 
1. Khi KH thắc mắc hạn mức được đánh giá như thế nào:
Hệ thống máy tính sẽ định kỳ tự động đánh giá lịch sử GD của KH khi sử dụng TKTS từ đó đưa ra quyết định hạn mức thanh toán bằng TKTS của KH đối với 1 số sản phẩm/dịch vụ.

2. Làm sao để có thể thanh toán giá trị nhiều hơn bằng TKTS đối với một số sản phẩm/dịch vụ có giới hạn hạn mức theo hạn mức Group 2 và 3:
1 số gợi ý để KH có thể thanh toán với hạn mức cao hơn trong tương lai:
+ Sử dụng thường xuyên, đều đặn TKTS ít nhất từ 1-3 tháng trở lên
+ Thanh toán dư nợ TKTS đầy đủ và đúng hạn",14h00 ngày 25/05/2023 ,,
"2222-Grab (Bike/Car/Food/Express)
2688 - Gojek (Bike/Food)","- Group 1:  3M/30 days
- Group 2:  1M/30 days
- Group 3: 
   Grab Bike/Car/Express = 500k/30 days
   Grab Food ; Gojek Bike/Food: Không cho phép

""Vượt mức thanh toán x triệu/30 ngày tại Grab bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.""","Vượt mức thanh toán x triệu/30 ngày tại Grab bằng TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé



Dịch vụ chưa hỗ trợ",,"HXL chung: CS hướng dẫn KH sử dụng nguồn tiền khác hoặc thử lại sau 30 ngày tính từ GD thành công cuối cùng.
Note : whitelist not available

Một số thắc mắc thêm của KH: 
1. Khi KH thắc mắc hạn mức được đánh giá như thế nào:
Hệ thống máy tính sẽ định kỳ tự động đánh giá lịch sử GD của KH khi sử dụng TKTS từ đó đưa ra quyết định hạn mức thanh toán bằng TKTS của KH đối với 1 số sản phẩm/dịch vụ.

2. Làm sao để có thể thanh toán giá trị nhiều hơn bằng TKTS đối với một số sản phẩm/dịch vụ có giới hạn hạn mức theo hạn mức Group 2 và 3:
1 số gợi ý để KH có thể thanh toán với hạn mức cao hơn trong tương lai:
+ Sử dụng thường xuyên, đều đặn TKTS ít nhất từ 1-3 tháng trở lên
+ Thanh toán dư nợ TKTS đầy đủ và đúng hạn


* Group3 : GrabFood, GojekFood: Không cho phép >> hướng dẫn KH sử dụng nguồn tiền khác để thanh toán.","Grab Bike, Grab Car: áp dụng từ M7/2023
Grab Food: áp dụng từ 7/11/2023
Gojek Food: áp dụng từ 1/12/2023

Các dịch vụ còn lại của Grab, Gojek: chưa hỗ trợ",,
" Các dịch vụ còn lại của 2 app id:  2222-Grab, 2688 - Gojek ",Dịch vụ chưa hỗ trợ TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,Dịch vụ chưa hỗ trợ TK trả sau. Bạn thử lại bằng nguồn tiền khác nhé.,,"CS hướng dẫn KH sử dụng nguồn tiền khác.
Note : whitelist not available",,,
